customer_id,first_name,surname,address,Phone,email,PAN,AADHAR,status
1,Rahul,Reddy,"278, Gandhi Street, Delhi",9374425067,rahul.reddy1@example.com,INUAY6172H,168038736053,ACTIVE
2,Rahul,Jain,"384, Gandhi Street, Mumbai",9970894804,rahul.jain2@example.com,GOKFF2090X,281485660431,ACTIVE
3,Vikram,Yadav,"372, Temple Road, Delhi",9262134923,vikram.yadav3@example.com,TCEAI4471R,756898671194,ACTIVE
4,Diya,Verma,"815, MG Road, Pune",9991218781,diya.verma4@example.com,IQHCE5119X,336953770349,ACTIVE
5,Vikram,Jain,"110, Park Avenue, Kochi",9250053115,vikram.jain5@example.com,QTMNY8516P,177288722224,ACTIVE
6,Lakshmi,Joshi,"367, Park Avenue, Coimbatore",9457010231,lakshmi.joshi6@example.com,PBDXV8679H,164845107947,ACTIVE
7,Sanjay,Jain,"252, Nehru Nagar, Bengaluru",9952397873,sanjay.jain7@example.com,MFTID7118G,792302687818,ACTIVE
8,Vikram,Rao,"820, Lake View, Hyderabad",9334013899,vikram.rao8@example.com,YSFCD3298C,882376391973,ACTIVE
9,Sneha,Mishra,"195, Brigade Road, Bengaluru",9829533979,sneha.mishra9@example.com,VWJGQ4578K,656741043024,ACTIVE
10,Rahul,Reddy,"157, Temple Road, Coimbatore",9058595219,rahul.reddy10@example.com,JORIJ4897F,887177780681,ACTIVE
11,Ananya,Kumar,"363, Temple Road, Mumbai",9891792464,ananya.kumar11@example.com,FKPSJ4266C,775728154427,ACTIVE
12,Karthik,Rao,"854, Gandhi Street, Hyderabad",9263423587,karthik.rao12@example.com,KRWJZ5000J,398881041492,ACTIVE
13,Ananya,Kumar,"254, MG Road, Hyderabad",9318713342,ananya.kumar13@example.com,JLMEW8983D,886039649389,ACTIVE
14,Kiran,Jain,"953, Lake View, Pune",9152220577,kiran.jain14@example.com,HFYPB8828F,602202304644,ACTIVE
15,Riya,Rao,"947, Gandhi Street, Chennai",9041437708,riya.rao15@example.com,DZUMK8460C,247978211029,ACTIVE
16,Sanjay,Jain,"847, Anna Salai, Hyderabad",9298287886,sanjay.jain16@example.com,FQMOY2066U,229972016555,ACTIVE
17,Riya,Reddy,"217, Lake View, Delhi",9577713880,riya.reddy17@example.com,XJLHH9217H,943611135407,ACTIVE
18,Vivaan,Rao,"954, MG Road, Hyderabad",9008343406,vivaan.rao18@example.com,GNMFW2648Z,723768117125,ACTIVE
19,Lakshmi,Rao,"417, MG Road, Chennai",9527492716,lakshmi.rao19@example.com,JWBXK9578E,684138193512,ACTIVE
20,Riya,Gupta,"952, Lake View, Delhi",9007511783,riya.gupta20@example.com,AMDLR7779X,770368513934,ACTIVE
21,Rahul,Menon,"101, Brigade Road, Coimbatore",9111705894,rahul.menon21@example.com,IRTNG5525V,599417398181,ACTIVE
22,Meera,Nair,"318, Lake View, Hyderabad",9250926739,meera.nair22@example.com,IODGH6176I,176058036698,ACTIVE
23,Arjun,Chopra,"827, Nehru Nagar, Bengaluru",9287495144,arjun.chopra23@example.com,XMMVR8367T,848898513093,ACTIVE
24,Arjun,Reddy,"136, Nehru Nagar, Mumbai",9870207177,arjun.reddy24@example.com,KKPNW7938I,148988402852,ACTIVE
25,Vikram,Reddy,"538, Temple Road, Mumbai",9610008230,vikram.reddy25@example.com,NCIZN8898H,565182816957,ACTIVE
26,Aarav,Bose,"444, Park Avenue, Kochi",9612073916,aarav.bose26@example.com,VZOHK3812E,424107965721,ACTIVE
27,Sneha,Gupta,"785, Anna Salai, Hyderabad",9136319516,sneha.gupta27@example.com,CPQDH4065L,569047737747,ACTIVE
28,Meera,Pillai,"446, Anna Salai, Coimbatore",9359515595,meera.pillai28@example.com,JHTWV8120O,877964980023,ACTIVE
29,Riya,Patel,"205, Park Avenue, Kochi",9550273409,riya.patel29@example.com,GYBRC3842E,825792562941,ACTIVE
30,Pooja,Kumar,"369, MG Road, Mumbai",9040736334,pooja.kumar30@example.com,AIJFV5495A,747488734273,ACTIVE
31,Karthik,Patel,"862, Brigade Road, Pune",9822358794,karthik.patel31@example.com,FTQZQ8157L,669520125397,ACTIVE
32,Vivaan,Das,"844, MG Road, Mumbai",9863990657,vivaan.das32@example.com,SFOBI6208S,358370636893,ACTIVE
33,Suresh,Reddy,"162, Brigade Road, Chennai",9686556610,suresh.reddy33@example.com,SUNFR8774B,188962770862,ACTIVE
